Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles,Total Hit Rate (%)
Multi,1024,4096,32,4,Random,611476,117428,68418,49010,49010,728904,83.89,58.26,3404066,83.88978521176999
Single,1024,-,32,4,FIFO,622732,106172,-,-,106172,728904,85.43,-,5931332,85.43402148979838
Multi,1024,4096,32,4,FIFO,582713,146191,91111,55080,55080,728904,79.94,62.32,3792268,79.94372372767882
Single,1024,-,64,1,LRU,625120,103784,-,-,103784,728904,85.76,-,5814320,85.7616366489963
Multi,1024,4096,64,1,LRU,625120,103784,43589,60195,60195,728904,85.76,42.0,3852815,85.7616366489963
Single,1024,-,64,1,Random,625120,103784,-,-,103784,728904,85.76,-,5814320,85.7616366489963
Multi,1024,4096,64,1,Random,625120,103784,67905,35879,35879,728904,85.76,65.43,2758595,85.7616366489963
Single,1024,-,64,1,FIFO,625120,103784,-,-,103784,728904,85.76,-,5814320,85.7616366489963
Multi,1024,4096,64,1,FIFO,625120,103784,43589,60195,60195,728904,85.76,42.0,3852815,85.7616366489963
Single,1024,-,64,2,LRU,661435,67469,-,-,67469,728904,90.74,-,4034885,90.74377421443702
Multi,1024,4096,64,2,LRU,563093,165811,133553,32258,32258,728904,77.25,80.55,2843758,77.2520112387914
Single,1024,-,64,2,Random,648049,80855,-,-,80855,728904,88.91,-,4690799,88.90731838486275
Multi,1024,4096,64,2,Random,635841,93063,60238,32825,32825,728904,87.23,64.73,2578281,87.23247505844391
Single,1024,-,64,2,FIFO,654217,74687,-,-,74687,728904,89.75,-,4388567,89.75352035384633
Multi,1024,4096,64,2,FIFO,563093,165811,123626,42185,42185,728904,77.25,74.56,3290473,77.2520112387914
Single,1024,-,64,4,LRU,670757,58147,-,-,58147,728904,92.02,-,3578107,92.02268062735286
Multi,1024,4096,64,4,LRU,659617,69287,37147,32140,32140,728904,90.49,53.61,2452352,90.4943586535401
Single,1024,-,64,4,Random,654564,74340,-,-,74340,728904,89.8,-,4371564,89.80112607421553
Multi,1024,4096,64,4,Random,645098,83806,51426,32380,32380,728904,88.5,61.36,2521228,88.50246397330787
Single,1024,-,64,4,FIFO,657593,71311,-,-,71311,728904,90.22,-,4223143,90.21668148343267
Multi,1024,4096,64,4,FIFO,607344,121560,82821,38739,38739,728904,83.32,68.13,2958399,83.32290672022653
