Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles,Total Hit Rate (%)
Single,512,-,64,1,FIFO,9223,777,-,-,777,10000,92.23,-,48073,92.23
Multi,512,2048,64,1,FIFO,9223,777,330,447,447,10000,92.23,42.47,33223,92.23
Single,512,-,64,2,LRU,9586,414,-,-,414,10000,95.86,-,30286,95.86
Multi,512,2048,64,2,LRU,8867,1133,923,210,210,10000,88.67,81.47,23982,88.67
Single,512,-,64,2,Random,9477,523,-,-,523,10000,94.77,-,35627,94.77
Multi,512,2048,64,2,Random,9415,585,356,229,229,10000,94.15,60.85,22645,94.15
Single,512,-,64,2,FIFO,9534,466,-,-,466,10000,95.34,-,32834,95.34
Multi,512,2048,64,2,FIFO,8867,1133,896,237,237,10000,88.67,79.08,25197,88.67
Single,512,-,64,4,LRU,9586,414,-,-,414,10000,95.86,-,30286,95.86
Multi,512,2048,64,4,LRU,9585,415,204,211,211,10000,95.85,49.16,21155,95.85000000000001
Single,512,-,64,4,Random,9535,465,-,-,465,10000,95.35,-,32785,95.35
Multi,512,2048,64,4,Random,9498,502,276,226,226,10000,94.98,54.98,22178,94.98
Single,512,-,64,4,FIFO,9535,465,-,-,465,10000,95.35,-,32785,95.35
Multi,512,2048,64,4,FIFO,9482,518,282,236,236,10000,94.82,54.44,22692,94.82000000000001
Single,1024,-,32,1,LRU,9100,900,-,-,900,10000,91.0,-,54100,91.0
Multi,1024,4096,32,1,LRU,9100,900,422,478,478,10000,91.0,46.89,35110,91.0
Single,1024,-,32,1,Random,9100,900,-,-,900,10000,91.0,-,54100,91.0
Multi,1024,4096,32,1,Random,9100,900,468,432,432,10000,91.0,52.0,33040,91.0
Single,1024,-,32,1,FIFO,9100,900,-,-,900,10000,91.0,-,54100,91.0
Multi,1024,4096,32,1,FIFO,9100,900,422,478,478,10000,91.0,46.89,35110,91.0
Single,1024,-,32,2,LRU,9179,821,-,-,821,10000,91.79,-,50229,91.79
Multi,1024,4096,32,2,LRU,9025,975,561,414,414,10000,90.25,57.54,32530,90.25
Single,1024,-,32,2,Random,9133,867,-,-,867,10000,91.33,-,52483,91.33
Multi,1024,4096,32,2,Random,9099,901,479,422,422,10000,90.99,53.16,32594,90.99000000000001
Single,1024,-,32,2,FIFO,9153,847,-,-,847,10000,91.53,-,51503,91.53
Multi,1024,4096,32,2,FIFO,9025,975,547,428,428,10000,90.25,56.1,33160,90.25
Single,1024,-,32,4,LRU,9179,821,-,-,821,10000,91.79,-,50229,91.79
Multi,1024,4096,32,4,LRU,9179,821,406,415,415,10000,91.79,49.45,31959,91.79
Single,1024,-,32,4,Random,9146,854,-,-,854,10000,91.46,-,51846,91.46
Multi,1024,4096,32,4,Random,9143,857,436,421,421,10000,91.43,50.88,32373,91.43
Single,1024,-,32,4,FIFO,9153,847,-,-,847,10000,91.53,-,51503,91.53
Multi,1024,4096,32,4,FIFO,9127,873,446,427,427,10000,91.27,51.09,32707,91.27
Single,1024,-,64,1,LRU,9400,600,-,-,600,10000,94.0,-,39400,94.0
Multi,1024,4096,64,1,LRU,9400,600,274,326,326,10000,94.0,45.67,27070,94.0
Single,1024,-,64,1,Random,9400,600,-,-,600,10000,94.0,-,39400,94.0
Multi,1024,4096,64,1,Random,9400,600,363,237,237,10000,94.0,60.5,23065,94.0
Single,1024,-,64,1,FIFO,9400,600,-,-,600,10000,94.0,-,39400,94.0
Multi,1024,4096,64,1,FIFO,9400,600,274,326,326,10000,94.0,45.67,27070,94.0
Single,1024,-,64,2,LRU,9586,414,-,-,414,10000,95.86,-,30286,95.86
Multi,1024,4096,64,2,LRU,9223,777,567,210,210,10000,92.23,72.97,22558,92.23
Single,1024,-,64,2,Random,9534,466,-,-,466,10000,95.34,-,32834,95.34
Multi,1024,4096,64,2,Random,9505,495,275,220,220,10000,95.05,55.56,21880,95.05
Single,1024,-,64,2,FIFO,9560,440,-,-,440,10000,95.6,-,31560,95.6
Multi,1024,4096,64,2,FIFO,9223,777,553,224,224,10000,92.23,71.17,23188,92.23
Single,1024,-,64,4,LRU,9586,414,-,-,414,10000,95.86,-,30286,95.86
Multi,1024,4096,64,4,LRU,9586,414,203,211,211,10000,95.86,49.03,21151,95.86
Single,1024,-,64,4,Random,9555,445,-,-,445,10000,95.55,-,31805,95.55
Multi,1024,4096,64,4,Random,9548,452,236,216,216,10000,95.48,52.21,21528,95.48
Single,1024,-,64,4,FIFO,9560,440,-,-,440,10000,95.6,-,31560,95.6
Multi,1024,4096,64,4,FIFO,9534,466,243,223,223,10000,95.34,52.15,21899,95.34
