Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles,Total Hit Rate (%)
Single,512,-,32,1,LRU,9025,975,-,-,975,10000,90.25,-,57775,90.25
Multi,512,2048,32,1,LRU,9025,975,430,545,545,10000,90.25,44.1,38425,90.25
Single,512,-,32,1,Random,9025,975,-,-,975,10000,90.25,-,57775,90.25
Multi,512,2048,32,1,Random,9025,975,524,451,451,10000,90.25,53.74,34195,90.25
Single,512,-,32,1,FIFO,9025,975,-,-,975,10000,90.25,-,57775,90.25
Multi,512,2048,32,1,FIFO,9025,975,430,545,545,10000,90.25,44.1,38425,90.25
Single,512,-,32,2,LRU,9179,821,-,-,821,10000,91.79,-,50229,91.79
Multi,512,2048,32,2,LRU,8869,1131,717,414,414,10000,88.69,63.4,33154,88.69
Single,512,-,32,2,Random,9096,904,-,-,904,10000,90.96,-,54296,90.96
Multi,512,2048,32,2,Random,9040,960,532,428,428,10000,90.4,55.42,33100,90.4
Single,512,-,32,2,FIFO,9127,873,-,-,873,10000,91.27,-,52777,91.27
Multi,512,2048,32,2,FIFO,8869,1131,691,440,440,10000,88.69,61.1,34324,88.69
Single,512,-,32,4,LRU,9179,821,-,-,821,10000,91.79,-,50229,91.79
Multi,512,2048,32,4,LRU,9178,822,407,415,415,10000,91.78,49.51,31963,91.78
Single,512,-,32,4,Random,9108,892,-,-,892,10000,91.08,-,53708,91.08000000000001
Multi,512,2048,32,4,Random,9085,915,486,429,429,10000,90.85,53.11,32965,90.85
Single,512,-,32,4,FIFO,9128,872,-,-,872,10000,91.28,-,52728,91.28
Multi,512,2048,32,4,FIFO,9075,925,486,439,439,10000,90.75,52.54,33455,90.75
Single,512,-,64,1,LRU,9223,777,-,-,777,10000,92.23,-,48073,92.23
Multi,512,2048,64,1,LRU,9223,777,330,447,447,10000,92.23,42.47,33223,92.23
Single,512,-,64,1,Random,9223,777,-,-,777,10000,92.23,-,48073,92.23
Multi,512,2048,64,1,Random,9223,777,536,241,241,10000,92.23,68.98,23953,92.23
