Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles
Single,1024,-,16,1,Random,4263755,1553739,-,-,1553739,5817494,73.29,-,81950705
Multi,1024,4096,16,1,Random,4263755,1553739,842948,710791,710791,5817494,73.29,54.25,44018045
Single,1024,-,16,1,FIFO,4263755,1553739,-,-,1553739,5817494,73.29,-,81950705
Multi,1024,4096,16,1,FIFO,4263755,1553739,787163,766576,766576,5817494,73.29,50.66,46528370
Single,1024,-,16,2,LRU,4492966,1324528,-,-,1324528,5817494,77.23,-,70719366
Multi,1024,4096,16,2,LRU,4026339,1791155,1127676,663479,663479,5817494,69.21,62.96,42838669
Single,1024,-,16,2,Random,4321674,1495820,-,-,1495820,5817494,74.29,-,79112674
Multi,1024,4096,16,2,Random,4249980,1567514,867924,699590,699590,5817494,73.06,55.37,43569100
Single,1024,-,16,2,FIFO,4347525,1469969,-,-,1469969,5817494,74.73,-,77845975
Multi,1024,4096,16,2,FIFO,4026339,1791155,1067429,723726,723726,5817494,69.21,59.59,45549784
Single,1024,-,16,4,LRU,4492303,1325191,-,-,1325191,5817494,77.22,-,70751853
Multi,1024,4096,16,4,LRU,4446945,1370549,697414,673135,673135,5817494,76.44,50.89,41590765
Single,1024,-,16,4,Random,4316468,1501026,-,-,1501026,5817494,74.2,-,79367768
Multi,1024,4096,16,4,Random,4247689,1569805,873987,695818,695818,5817494,73.02,55.67,43408524
Single,1024,-,16,4,FIFO,4330765,1486729,-,-,1486729,5817494,74.44,-,78667215
Multi,1024,4096,16,4,FIFO,4069455,1748039,1026659,721380,721380,5817494,69.95,58.73,45271750
Single,1024,-,32,1,LRU,4869679,947815,-,-,947815,5817494,83.71,-,52260429
Multi,1024,4096,32,1,LRU,4869679,947815,468560,479255,479255,5817494,83.71,49.44,31175229
Single,1024,-,32,1,Random,4869679,947815,-,-,947815,5817494,83.71,-,52260429
Multi,1024,4096,32,1,Random,4869679,947815,550650,397165,397165,5817494,83.71,58.1,27481179
Single,1024,-,32,1,FIFO,4869679,947815,-,-,947815,5817494,83.71,-,52260429
Multi,1024,4096,32,1,FIFO,4869679,947815,468560,479255,479255,5817494,83.71,49.44,31175229
